url,image,prep_time,difficulty
https://themeatmen.sg/choco-banana-pudding-%e5%b7%a7%e5%85%8b%e5%8a%9b%e9%a6%99%e8%95%89%e5%b8%83%e4%b8%81/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09593_S.jpeg,['1 hr'],easy
https://themeatmen.sg/chinese-beef-stew/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09420_thumb.jpeg,['3 hrs'],easy
https://themeatmen.sg/air-fryer-chicken-thighs-marinated-3-ways/,https://themeatmen.sg/wp-content/uploads/2021/05/thumb-1.jpg,['35 min'],easy
https://themeatmen.sg/pineapple-buns/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09286-THUMB.jpeg,['3 hours'],medium
https://themeatmen.sg/seafood-boil-with-chilli-butter-sauce/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09943_s.jpeg,['30 min'],easy
https://themeatmen.sg/salt-and-pepper-prawns/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09551_thumb-1.jpeg,['30 min'],easy
https://themeatmen.sg/marmite-chicken/,https://themeatmen.sg/wp-content/uploads/2021/05/DSC09340_thumb.jpg,['1 hr'],easy
https://themeatmen.sg/stir-fried-winged-bean-with-prawns-in-coconut-sauce/,https://themeatmen.sg/wp-content/uploads/2021/04/DSC09050_thumb.jpg,['30 mins'],easy
https://themeatmen.sg/make-mcdonalds-mcgriddles-at-home/,https://themeatmen.sg/wp-content/uploads/2021/04/DSC09569-THUMB-1-e1620116669937.jpg,['45 mins'],easy
https://themeatmen.sg/stir-fried-pork-with-mushrooms/,https://themeatmen.sg/wp-content/uploads/2021/04/DSC09369-THUMB.jpg,['30 mins'],easy
https://themeatmen.sg/cutlets-spicy-mango-sauce/,https://themeatmen.sg/wp-content/uploads/2021/04/DSC02454-S.jpg,['15 mins'],easy
https://themeatmen.sg/ginger-fried-rice/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC09501_thumb.jpg,['20'],easy
https://themeatmen.sg/jajangmyeon/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC02509_thumb.jpg,['45 min'],easy
https://themeatmen.sg/trio-steamed-eggs-with-minced-meat/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC02173-s-thumb.jpg,['30'],easy
https://themeatmen.sg/xing-zhou-mi-fen/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC09272_S-e1615891008470.jpg,['30'],easy
https://themeatmen.sg/ban-mian/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC02099_S-1.jpg,['2 hr 20min'],easy
https://themeatmen.sg/hamburg-steak-%e6%b1%89%e5%a0%a1%e7%89%9b%e6%8e%92/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC02053_S-e1615431511945.jpg,['30'],easy
https://themeatmen.sg/red-wine-chicken-mee-sua/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC01939-L-copy-scaled-1.jpg,['45mins'],easy
https://themeatmen.sg/handmade-youtiao-%e6%b2%b9%e6%9d%a1/,https://themeatmen.sg/wp-content/uploads/2021/03/D324A332-1681-4A17-9509-EA7BF2D845E3_1_201_a-scaled-1.jpeg,['45 minutes'],easy
https://themeatmen.sg/air-fried-tonkatsu/,https://themeatmen.sg/wp-content/uploads/2021/03/DSC02000_S-1-e1614770956620.jpg,['30 min'],easy
https://themeatmen.sg/fish-soup/,https://themeatmen.sg/wp-content/uploads/2021/02/EABDC168-4219-49E1-B900-9EE79D8B9BB1_1_201_a.jpeg,['1 hour'],easy
https://themeatmen.sg/air-fried-churros-%e7%a9%ba%e7%82%b8%e5%90%89%e6%8b%bf%e6%a3%92/,https://themeatmen.sg/wp-content/uploads/2021/02/DSC01779_S-scaled-e1614265375394.jpg,['30 min'],easy
https://themeatmen.sg/stir-fried-sea-cucumber/,https://themeatmen.sg/wp-content/uploads/2021/02/DSC01053_small.jpg,['30 minutes'],easy
https://themeatmen.sg/heng-hua-lor-mee-%e5%85%b4%e5%8c%96%e5%8d%a4%e9%9d%a2-putian/,https://themeatmen.sg/wp-content/uploads/2021/02/46EF7A06-E584-4770-BC31-7BF06E073A9A_1_201_a.jpeg,['1 hour'],easy
https://themeatmen.sg/fried-prawns-with-wasabi-mayo/,https://themeatmen.sg/wp-content/uploads/2021/02/1A828BF4-1A46-413D-BDE7-6D83BD648565_1_201_a.jpeg,['30 minutes'],easy
https://themeatmen.sg/prawns-with-pumpkin-puree-and-fried-broccoli-%e5%8d%97%e7%93%9c%e6%b3%a5%e8%99%be/,https://themeatmen.sg/wp-content/uploads/2021/02/DSC01575-M-scaled-1.jpg,['1 hour'],medium
https://themeatmen.sg/sichuan-fragrant-roast-duck/,https://themeatmen.sg/wp-content/uploads/2021/02/DSC01517-M-scaled-1.jpg,['35 mins'],easy
